age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,nps_score,tx_count_30d,avg_tx_amount,failed_tx,support_tickets
45,F,City,Platinum Membership,2015-08-11,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,02:50:19,62,111.5,15061.19,5.0,1025.352333,No,Yes,No,Not Applicable,Poor Customer Service,0,3,88,479.27,45,7
56,F,Town,Gold Membership,2015-09-06,Yes,Credit/Debit Card Offers,Both,Mobile_Data,22:20:09,76,589.97,97641.78,8.0,727.62,Yes,Yes,Yes,No Information Available,Products always in Stock,0,9,6,125.83,13,0
48,M,City,Gold Membership,2017-11-29,?,Without Offers,Desktop,Wi-Fi,15:15:17,355,31.8,12610.43,12.0,790.86,No,Yes,Yes,No Information Available,No reason specified,0,1,79,17.98,21,6
21,M,?,Premium Membership,2016-06-13,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,04:14:54,96,590.3,25613.0,7.0,528.8007254,Yes,No,Yes,Unsolved,Reasonable Price,0,0,92,313.36,9,7
58,M,Village,Premium Membership,2016-01-25,?,Credit/Debit Card Offers,Desktop,Mobile_Data,15:55:11,130,163.35,23067.22,12.0,1134.776216,No,Yes,Yes,Solved,User Friendly Website,0,6,12,652.5,46,6
36,F,Town,Platinum Membership,2017-12-31,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,15:02:54,197,881.41,92166.98,2.0,734.4,Yes,Yes,No,Not Applicable,Quality Customer Care,0,9,28,181.18,45,1
53,M,City,Basic Membership,2017-11-09,Yes,Gift Vouchers/Coupons,?,Mobile_Data,11:32:20,298,34.68,45795.86,15.0,1173.198134,Yes,No,No,Not Applicable,Poor Customer Service,1,8,31,659.13,13,0
55,M,City,No Membership,2015-06-01,Yes,Credit/Debit Card Offers,?,Fiber_Optic,12:05:03,200,586.74,1440.89,22.0,679.78,Yes,No,Yes,Solved in Follow-up,No reason specified,1,5,85,135.43,23,3
20,M,Town,Silver Membership,2015-02-28,Yes,Without Offers,Smartphone,Fiber_Optic,13:29:18,91,45.79,16063.6,15.98,710.93,No,Yes,Yes,Solved in Follow-up,Poor Website,1,8,57,36.71,9,7
30,F,Town,Platinum Membership,2016-03-22,?,Credit/Debit Card Offers,Both,Wi-Fi,19:49:55,111,543.72,28367.97,6.0,761.42,Yes,Yes,No,Not Applicable,No reason specified,0,7,40,463.26,21,7
29,M,City,No Membership,2017-01-04,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,16:32:41,76,118.34,42363.79,26.0,682.25,No,Yes,No,Not Applicable,Poor Customer Service,1,4,82,248.75,20,2
11,M,Town,Silver Membership,2016-01-09,No,Gift Vouchers/Coupons,?,Fiber_Optic,02:45:17,180,857.0619121,34328.16,25.0,768.96,Yes,No,No,Not Applicable,Poor Product Quality,0,9,65,284.18,48,7
46,F,Town,Silver Membership,2016-02-02,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,06:30:48,232,154.65,10120.81,21.0,718.87,Yes,No,Yes,No Information Available,No reason specified,0,1,34,26.88,26,2
58,M,City,Gold Membership,2017-08-23,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,01:38:32,26,334.29,14926.5,7.0,785.79,Yes,Yes,No,Not Applicable,Poor Product Quality,0,0,29,185.68,4,8
54,M,?,No Membership,2016-07-27,Yes,Credit/Debit Card Offers,?,Mobile_Data,09:47:53,234,145.41,3612.71,13.0,346.1124851,No,Yes,No,Not Applicable,Poor Customer Service,1,9,30,723.13,40,5
30,F,?,No Membership,2017-09-06,No,Without Offers,Smartphone,Fiber_Optic,16:45:32,99,-617.4713505,44348.66,20.0,667.25,Yes,No,Yes,Unsolved,Poor Product Quality,1,3,89,527.64,38,7
28,F,Town,Silver Membership,2015-12-13,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,19:03:37,255,119.33,24372.13,26.0,727.09,No,Yes,Yes,Solved in Follow-up,Too many ads,0,4,18,807.6,0,3
44,M,?,Gold Membership,2016-03-10,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,21:06:57,58,102.02,71208.76,15.0,770.52,No,Yes,Yes,No Information Available,Quality Customer Care,0,8,2,917.97,28,4
15,F,Town,No Membership,2015-04-06,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,23:18:57,27,33.94,1017.71,28.0,662.64,No,Yes,No,Not Applicable,No reason specified,1,4,21,464.07,17,1
39,F,Town,No Membership,2016-12-22,Yes,Credit/Debit Card Offers,Both,Mobile_Data,02:29:32,333,802.44,39187.85,27.0,1032.736849,Yes,No,No,Not Applicable,Poor Website,1,1,66,379.63,24,1
25,M,City,No Membership,2016-10-17,?,Credit/Debit Card Offers,Smartphone,Wi-Fi,04:41:54,36,220.04,44133.85,24.0,501.68,No,Yes,No,Not Applicable,Poor Product Quality,1,2,83,896.15,14,0
50,M,City,Basic Membership,2015-08-01,Yes,Credit/Debit Card Offers,?,Wi-Fi,08:52:12,131,32.98,39342.66,29.0,631.12,No,Yes,No,Not Applicable,No reason specified,1,2,19,271.04,14,7
28,M,Town,Platinum Membership,2016-11-06,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,01:51:22,226,255.41,18936.43,11.0,710.24,Yes,No,No,Not Applicable,User Friendly Website,0,4,14,390.18,40,4
43,M,Village,Basic Membership,2015-05-20,Yes,Without Offers,Desktop,Mobile_Data,14:11:00,120,34.02,38889.19,15.98,642.94,Yes,No,Yes,Unsolved,Poor Customer Service,1,1,38,75.0,15,6
10,F,Town,No Membership,2016-03-26,No,?,Desktop,Wi-Fi,09:44:15,266,83.04,6714.55,27.0,673.75,No,Yes,No,Not Applicable,No reason specified,1,3,95,197.51,9,9
13,F,Town,Premium Membership,2016-04-10,No,Without Offers,Desktop,Fiber_Optic,12:17:36,275,34.95,20004.95,22.0,686.88,No,Yes,No,Not Applicable,No reason specified,0,1,72,770.0,47,7
28,F,Town,Platinum Membership,2017-02-24,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,03:11:28,86,814.89,45927.89,26.0,752.54,No,Yes,No,Not Applicable,Poor Product Quality,0,3,77,874.72,7,1
21,M,Town,Gold Membership,2016-02-19,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,18:47:52,271,185.27,22510.29,14.0,737.36,Yes,No,Yes,Unsolved,Too many ads,0,4,3,812.44,31,3
62,F,Village,Platinum Membership,2015-04-17,?,Credit/Debit Card Offers,Smartphone,Wi-Fi,13:20:36,363,93.02,8543.31,19.0,790.68,Yes,No,Yes,No Information Available,No reason specified,0,0,92,937.48,47,1
16,F,City,Gold Membership,2017-04-09,Yes,Without Offers,Desktop,Mobile_Data,08:09:17,343,438.5,45685.63,15.0,797.13,No,Yes,No,Not Applicable,Poor Website,0,8,77,675.02,3,3
46,F,City,No Membership,2017-09-30,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,16:34:23,225,135.31,14597.55,17.0,585.23,Yes,No,No,Not Applicable,Too many ads,1,6,2,286.97,35,8
37,M,Town,Silver Membership,2015-02-13,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,11:40:59,23,621.36,36318.63,16.0,686.88,No,Yes,No,Not Applicable,Poor Customer Service,1,9,26,104.07,38,0
25,M,City,Premium Membership,2016-11-03,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,12:24:21,100,-563.0967388,72047.93,15.0,782.9,Yes,Yes,Yes,No Information Available,Products always in Stock,0,2,50,924.56,45,9
29,M,?,Platinum Membership,2016-07-04,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,10:13:08,348,184.21,2895.7,12.0,721.68,No,Yes,Yes,No Information Available,Poor Product Quality,0,8,61,663.63,1,6
23,M,City,Basic Membership,2016-11-03,No,Without Offers,Smartphone,Fiber_Optic,20:27:36,298,1243.636759,33366.01,3.57,236.7799061,No,Yes,No,Not Applicable,Poor Website,1,0,28,453.89,3,5
39,F,?,Gold Membership,2015-11-19,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,18:27:39,295,440.08,81131.26,18.0,1369.564715,Yes,No,No,Not Applicable,Reasonable Price,0,3,32,794.26,3,8
42,F,?,Gold Membership,2016-04-18,No,Credit/Debit Card Offers,Desktop,Mobile_Data,04:01:10,9,34.41,9945.42,19.0,702.81,Yes,No,No,Not Applicable,Poor Product Quality,1,4,65,632.18,16,6
45,M,Town,Silver Membership,2017-07-25,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,21:41:32,307,421.78,88561.09,17.0,715.09,Yes,Yes,No,Not Applicable,User Friendly Website,0,2,81,442.46,12,9
63,F,City,Gold Membership,2017-11-09,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,08:31:57,236,258.74,85468.25,12.0,1189.052048,No,Yes,Yes,Solved in Follow-up,Quality Customer Care,0,9,1,181.46,40,2
58,M,Village,Silver Membership,2015-07-21,No,Gift Vouchers/Coupons,?,Wi-Fi,15:13:56,321,404.06,39493.04,12.0,686.88,Yes,No,No,Not Applicable,Poor Customer Service,1,6,41,229.84,11,4
42,M,?,Basic Membership,2015-10-07,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,01:27:59,277,166.2,5224.04,8.0,394.753817,Yes,No,No,Not Applicable,Too many ads,1,4,2,749.46,44,9
54,M,City,Premium Membership,2016-08-17,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,11:19:36,132,499.41,9930.2,1.0,768.63,Yes,No,No,Not Applicable,Reasonable Price,0,8,87,412.37,44,9
19,M,Town,Gold Membership,2016-05-17,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,23:03:14,63,220.45,42744.94,13.0,689.31,No,Yes,Yes,No Information Available,Poor Product Quality,0,3,71,969.67,49,6
18,F,?,No Membership,2015-11-05,Yes,Without Offers,Smartphone,Mobile_Data,09:54:49,226,144.43,3170.58,22.0,638.57,Yes,No,Yes,Unsolved,Poor Product Quality,1,4,3,818.1,27,7
28,M,City,Gold Membership,2017-01-19,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,02:12:46,216,762.39,2306.31,10.0,1200.387832,Yes,Yes,No,Not Applicable,Poor Product Quality,0,7,60,377.67,21,2
28,F,City,Platinum Membership,2015-11-02,No,Without Offers,Smartphone,Mobile_Data,00:41:35,130,48.77,35896.7,13.0,795.09,No,Yes,No,Not Applicable,Poor Customer Service,0,4,74,550.43,20,6
48,M,Town,Gold Membership,2016-12-19,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,04:40:35,249,997.3419498,7461.72,26.0,712.02,No,Yes,Yes,No Information Available,Poor Website,1,6,37,233.06,49,8
55,M,Town,Platinum Membership,2015-06-08,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,04:16:26,218,293.26,14829.26,23.0,764.43,Yes,Yes,Yes,Solved,Poor Website,0,0,25,300.41,46,5
21,F,?,Gold Membership,2016-02-24,?,Gift Vouchers/Coupons,?,Fiber_Optic,13:20:29,149,412.02,48223.15,23.0,1279.80308,Yes,No,Yes,Unsolved,No reason specified,0,5,75,186.11,3,6
43,M,Town,Basic Membership,2015-09-11,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,21:44:34,162,40.26,30675.83,15.98,646.16,No,Yes,No,Not Applicable,Too many ads,1,3,88,71.27,6,9
29,F,?,Silver Membership,2016-02-14,No,Without Offers,Desktop,Fiber_Optic,19:45:33,26,176.3,34164.24,-7.5,628.9994642,No,Yes,No,Not Applicable,Too many ads,0,9,66,129.53,34,0
37,M,City,Silver Membership,2015-12-27,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,06:54:34,247,142.12,43367.89,10.0,528.7828243,Yes,No,No,Not Applicable,Too many ads,0,4,22,697.3,8,5
13,M,Town,No Membership,2015-11-20,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,03:38:42,151,1032.642376,13633.28,22.0,560.07,No,Yes,Yes,Solved in Follow-up,Too many ads,1,2,17,780.55,33,7
58,M,City,No Membership,2016-09-19,?,Without Offers,Smartphone,Wi-Fi,12:19:24,113,998.55,39497.77,22.0,667.51,Yes,No,Yes,Solved,Poor Website,1,7,88,338.11,28,4
11,M,Village,Gold Membership,2015-10-01,No,Gift Vouchers/Coupons,?,Wi-Fi,09:41:55,186,314.8,2051.24,-19.94,807.39,Yes,Yes,No,Not Applicable,User Friendly Website,0,2,46,662.79,10,2
28,F,Town,Platinum Membership,2016-03-02,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,08:05:35,80,1180.146004,55674.63,13.0,703.07,No,Yes,No,Not Applicable,User Friendly Website,0,8,90,495.58,9,7
22,F,Town,Gold Membership,2016-06-04,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,14:52:40,228,31.42,82412.03,12.0,1115.507723,No,Yes,No,Not Applicable,Quality Customer Care,0,1,56,196.87,49,5
37,M,?,Basic Membership,2017-06-10,Yes,Gift Vouchers/Coupons,?,Fiber_Optic,10:08:14,166,91.33,26534.43,5.0,599.7246024,No,Yes,Yes,No Information Available,Poor Product Quality,1,2,17,933.92,10,8
18,F,City,Platinum Membership,2015-04-26,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,02:15:42,136,1338.8,21782.74,12.0,739.11,Yes,No,Yes,Solved in Follow-up,No reason specified,0,2,97,13.63,33,1
64,F,Village,Basic Membership,2016-04-22,?,Credit/Debit Card Offers,Both,Mobile_Data,15:19:58,105,870.53,12512.91,13.0,1474.941244,Yes,No,Yes,Solved in Follow-up,Too many ads,1,2,60,198.91,29,7
18,M,Town,Silver Membership,2015-01-13,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,06:55:42,317,53.5,29094.92,23.0,650.39,Yes,No,Yes,Unsolved,Poor Product Quality,1,6,49,420.48,40,5
17,F,Village,Silver Membership,2015-04-17,?,Credit/Debit Card Offers,Smartphone,Fiber_Optic,02:21:58,6,67.52,19534.89,14.0,612.42,Yes,No,No,Not Applicable,No reason specified,1,1,39,869.87,23,9
61,M,Town,No Membership,2015-06-10,Yes,Without Offers,Both,Fiber_Optic,07:38:15,99,609.52,20705.94,20.0,660.35,Yes,No,Yes,No Information Available,Too many ads,1,3,15,857.69,13,4
52,M,Town,Basic Membership,2016-09-13,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,17:49:05,211,33.12,10615.92,15.98,686.88,No,Yes,Yes,No Information Available,Poor Customer Service,1,5,34,401.02,9,0
15,M,Town,Platinum Membership,2015-10-27,No,Without Offers,Both,Mobile_Data,15:37:42,219,461.88,38704.79,4.0,247.810199,Yes,Yes,No,Not Applicable,User Friendly Website,0,1,63,936.12,14,7
38,M,?,Premium Membership,2017-08-27,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,08:07:25,295,127.53,97687.77,4.0,806.36,No,Yes,No,Not Applicable,Reasonable Price,0,5,82,644.4,38,4
10,F,?,Basic Membership,2016-04-05,No,Without Offers,Desktop,Fiber_Optic,19:22:52,214,446.66,48777.59,27.0,690.94,Yes,No,Yes,Solved,Too many ads,1,5,4,106.99,26,8
26,F,City,Premium Membership,2017-07-22,No,Without Offers,Smartphone,Fiber_Optic,09:37:18,320,101.8,43871.92,15.98,778.06,No,Yes,Yes,Solved,User Friendly Website,0,7,74,700.65,22,2
24,M,Town,No Membership,2015-09-30,No,Without Offers,Smartphone,Mobile_Data,14:34:24,210,124.23,44565.04,8.0,1031.46983,Yes,No,No,Not Applicable,No reason specified,1,1,78,234.1,3,2
10,F,City,Basic Membership,2016-10-02,Yes,Without Offers,?,Mobile_Data,08:42:45,281,1323.29,25601.44,25.0,216.0107425,Yes,No,No,Not Applicable,Too many ads,1,0,49,640.04,5,6
22,F,Town,No Membership,2015-10-29,Yes,Without Offers,Smartphone,Wi-Fi,05:26:15,270,505.55,3570.06,18.0,558.94,Yes,No,No,Not Applicable,Poor Product Quality,1,2,30,902.25,8,6
31,F,?,Basic Membership,2016-04-10,No,Without Offers,Smartphone,Mobile_Data,02:14:13,0,150.02,36502.5,6.0,568.13,No,Yes,Yes,Unsolved,Poor Customer Service,1,0,93,958.75,39,1
39,F,City,No Membership,2016-09-17,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,17:53:42,249,65.27,35634.39,26.0,618.44,No,Yes,No,Not Applicable,Too many ads,1,4,63,981.63,13,4
30,F,City,Platinum Membership,2017-07-31,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16:21:19,254,32.7,27802.41,21.0,766.63,No,Yes,No,Not Applicable,Poor Customer Service,0,5,30,987.41,6,4
43,M,Town,No Membership,2015-10-06,Yes,Without Offers,Both,Fiber_Optic,09:09:08,65,1482.21,5646.38,26.0,696.42,Yes,Yes,No,Not Applicable,No reason specified,1,8,15,522.15,22,6
18,M,City,Basic Membership,2015-10-18,?,Gift Vouchers/Coupons,Desktop,Wi-Fi,00:37:54,67,192.27,15964.16,12.0,220.6067981,No,Yes,No,Not Applicable,Poor Website,1,2,74,76.2,22,5
61,F,City,Basic Membership,2015-05-17,?,Without Offers,?,Mobile_Data,11:44:25,165,215.53,43813.52,15.98,686.88,Yes,No,No,Not Applicable,Poor Product Quality,1,9,90,908.02,7,5
26,F,Town,Basic Membership,2017-06-02,No,Without Offers,Smartphone,Wi-Fi,20:33:52,308,108.14,7471.19,17.0,621.7,No,Yes,No,Not Applicable,Too many ads,1,4,39,453.56,47,7
14,M,Town,Platinum Membership,2017-10-29,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17:47:25,334,33.8,38618.52,26.0,707.23,Yes,No,Yes,Unsolved,No reason specified,0,2,32,404.66,39,4
37,M,Town,Premium Membership,2016-08-31,Yes,Without Offers,?,Fiber_Optic,21:56:11,149,258.48,16019.47,25.0,686.88,Yes,No,No,Not Applicable,No reason specified,0,3,43,766.36,7,1
57,M,City,Basic Membership,2016-09-24,No,Without Offers,Desktop,Mobile_Data,04:36:57,188,107.83,22752.66,15.98,529.91,Yes,No,No,Not Applicable,Poor Customer Service,1,8,49,627.45,41,4
12,F,City,Gold Membership,2015-10-10,No,Credit/Debit Card Offers,Desktop,Wi-Fi,07:51:22,91,488.24,64963.62,5.0,1038.9049,Yes,Yes,Yes,Solved,Reasonable Price,0,0,49,35.69,30,8
56,M,Town,No Membership,2017-05-08,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,03:13:28,308,556.1,34233.41,15.98,686.88,Yes,No,Yes,Solved,Poor Product Quality,1,4,7,906.28,33,6
59,F,Town,No Membership,2017-03-13,No,Without Offers,Smartphone,Fiber_Optic,04:50:47,174,50.46,46936.64,25.0,708.56,No,Yes,Yes,Solved,Poor Product Quality,1,9,50,198.41,18,0
12,M,Town,Basic Membership,2016-05-17,Yes,Without Offers,Smartphone,Mobile_Data,17:06:11,237,412.56,24635.65,26.0,618.92,Yes,Yes,No,Not Applicable,Poor Website,1,0,17,471.05,25,2
54,M,Village,Silver Membership,2017-02-02,Yes,Credit/Debit Card Offers,?,Fiber_Optic,07:26:59,36,884.02,22390.16,18.0,196.6701236,Yes,Yes,No,Not Applicable,Poor Customer Service,0,6,44,254.64,3,4
12,F,City,Platinum Membership,2016-02-02,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,23:31:28,143,43.33,73332.11,10.0,755.66,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0,1,76,331.88,5,2
33,M,City,Premium Membership,2015-08-21,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,20:40:54,190,33.75,65512.19,15.98,801.35,Yes,No,Yes,Solved,Products always in Stock,0,3,46,272.63,27,2
21,M,?,Gold Membership,2017-12-13,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,23:37:27,294,117.53,7941.77,10.0,757.53,Yes,No,Yes,No Information Available,No reason specified,0,5,1,771.75,45,9
15,F,Town,Gold Membership,2017-09-18,No,Credit/Debit Card Offers,Both,Mobile_Data,14:19:54,245,357.91,2384.97,22.0,719.1,No,Yes,Yes,No Information Available,Poor Website,0,8,79,525.39,14,9
49,M,City,Silver Membership,2015-01-22,?,Credit/Debit Card Offers,Desktop,Wi-Fi,09:37:33,20,281.2,41203.55,28.0,446.2674092,No,Yes,No,Not Applicable,Poor Product Quality,0,6,66,901.63,23,5
30,M,Town,Silver Membership,2015-04-06,Yes,Without Offers,Smartphone,Fiber_Optic,19:25:58,318,46.19,32638.84,16.0,645.59,No,Yes,No,Not Applicable,Too many ads,1,2,78,296.6,29,5
19,M,Town,Gold Membership,2017-01-13,?,Gift Vouchers/Coupons,?,Mobile_Data,08:22:59,301,158.73,19961.9,22.0,608.21,No,Yes,No,Not Applicable,Poor Product Quality,1,5,8,144.88,24,3
50,F,City,No Membership,2015-08-27,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,18:13:01,287,802.55,38014.67,23.0,626.88,Yes,Yes,No,Not Applicable,Poor Product Quality,1,3,49,847.57,20,6
26,M,?,Basic Membership,2016-06-25,No,Credit/Debit Card Offers,?,Wi-Fi,13:06:05,308,-384.0091228,14897.59,15.0,610.21,Yes,No,Yes,Solved,No reason specified,1,8,81,258.15,1,4
49,M,Village,Gold Membership,2016-07-19,No,Without Offers,?,Mobile_Data,10:31:50,123,34.46,72281.76,8.0,492.2726229,Yes,No,Yes,No Information Available,User Friendly Website,0,2,99,776.85,40,2
44,M,Town,Basic Membership,2015-04-07,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11:04:57,120,32.96,1254.96,18.0,665.25,No,Yes,Yes,Solved,Poor Customer Service,1,9,65,553.28,39,3
38,M,Town,No Membership,2015-06-14,Yes,Without Offers,?,Mobile_Data,06:47:54,322,122.62,35259.89,17.0,612.38,No,Yes,Yes,No Information Available,Too many ads,1,1,19,438.32,22,6
59,F,City,Gold Membership,2017-08-12,?,Credit/Debit Card Offers,Both,Mobile_Data,21:49:51,319,882.78,42053.3,25.0,326.6505329,Yes,Yes,No,Not Applicable,Too many ads,0,3,49,605.06,7,5
47,F,?,Platinum Membership,2017-12-21,?,Gift Vouchers/Coupons,Desktop,Fiber_Optic,02:40:33,221,135.4,6769.93,17.0,782.87,No,Yes,Yes,Unsolved,Poor Website,0,1,78,887.55,40,3
52,F,?,Gold Membership,2016-11-29,?,Credit/Debit Card Offers,Smartphone,Wi-Fi,06:34:41,345,92.47,906.76,10.0,678.74,No,Yes,No,Not Applicable,Poor Website,1,2,23,808.28,34,8
23,F,City,Platinum Membership,2017-09-21,Yes,Without Offers,?,Mobile_Data,19:22:15,297,66.11,7486.52,15.98,706.17,Yes,No,Yes,Solved in Follow-up,Too many ads,0,8,52,879.32,31,7
58,F,Town,Basic Membership,2016-10-08,?,Without Offers,Smartphone,Fiber_Optic,20:53:28,223,1277.87,13247.63,24.0,514.44,No,Yes,Yes,Solved in Follow-up,Too many ads,1,6,27,312.12,19,2
23,F,Town,No Membership,2016-05-07,?,Credit/Debit Card Offers,Desktop,Wi-Fi,03:04:53,239,161.07,29663.77,7.0,701.53,No,Yes,Yes,No Information Available,Poor Customer Service,1,7,7,519.06,25,8
39,F,City,Gold Membership,2017-07-29,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,23:52:58,120,380.44,36674.46,25.0,780.44,Yes,Yes,Yes,Unsolved,Too many ads,0,3,33,260.34,24,8
50,F,Town,No Membership,2015-02-19,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,19:36:28,154,-655.1003206,2179.55,11.0,635.26,No,Yes,No,Not Applicable,No reason specified,1,6,11,934.35,36,2
61,M,Village,Premium Membership,2017-04-13,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,19:32:29,237,141.74,45019.44,18.0,766.69,No,Yes,No,Not Applicable,Poor Website,0,8,51,859.56,6,9
26,F,City,Basic Membership,2017-07-02,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,06:46:59,258,31.24,36622.12,6.0,648.5,Yes,No,No,Not Applicable,Poor Customer Service,1,4,76,410.98,46,1
18,F,City,No Membership,2016-02-03,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,08:22:42,281,232.69,42072.38,21.0,663.87,No,Yes,Yes,Solved in Follow-up,Poor Website,1,2,1,916.61,13,0
36,M,Town,Gold Membership,2017-11-08,?,Gift Vouchers/Coupons,Desktop,Mobile_Data,04:02:22,235,473.44,13017.11,22.0,607.27,No,Yes,Yes,Solved in Follow-up,Poor Website,1,8,5,603.84,38,1
46,F,Town,Basic Membership,2016-11-03,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,01:23:42,321,107.26,46924.98,15.98,553.09,Yes,No,No,Not Applicable,Poor Website,1,7,7,645.32,2,0
24,F,City,Basic Membership,2017-08-12,No,Without Offers,Smartphone,Fiber_Optic,10:58:46,203,37.57,19274.81,26.0,511.1,Yes,No,Yes,Solved,Poor Customer Service,1,1,98,419.01,12,4
14,M,?,Basic Membership,2015-11-04,No,Without Offers,Smartphone,Wi-Fi,10:48:48,25,166.55,28956.92,12.0,591.24,Yes,No,No,Not Applicable,Too many ads,1,4,20,773.42,47,6
40,M,City,Platinum Membership,2015-02-26,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,04:18:37,48,143.44,15597.32,16.0,686.88,Yes,No,No,Not Applicable,No reason specified,0,0,43,432.17,13,3
43,M,Town,Platinum Membership,2015-10-16,No,Credit/Debit Card Offers,Desktop,Wi-Fi,00:44:21,212,295.04,12975.68,19.0,299.6562924,Yes,No,Yes,No Information Available,User Friendly Website,0,0,77,708.64,44,0
18,F,City,Gold Membership,2017-10-28,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,14:54:05,89,31.28,25264.16,28.0,646.85,Yes,No,Yes,Unsolved,Poor Website,1,9,46,806.39,35,8
43,F,Town,Premium Membership,2017-08-27,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,07:42:41,226,35.03,1649.86,13.0,737.27,No,Yes,Yes,Solved in Follow-up,Too many ads,0,1,99,775.88,21,6
38,M,Town,No Membership,2017-05-21,?,Without Offers,Smartphone,Wi-Fi,11:28:43,231,259.25,6210.61,23.0,842.8406495,No,Yes,Yes,Solved in Follow-up,Too many ads,1,7,82,603.04,35,6
29,M,Town,Basic Membership,2016-08-05,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,15:57:04,263,1891.378281,12834.14,5.0,671.81,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1,5,93,444.97,0,6
64,M,?,Silver Membership,2015-10-24,No,Without Offers,Desktop,Wi-Fi,23:28:36,243,201.2,16774.5,14.0,781.24,No,Yes,No,Not Applicable,Poor Website,0,2,85,753.9,49,6
42,F,City,Basic Membership,2016-06-15,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,16:18:54,273,516.32,4751.32,28.0,624.47,Yes,No,Yes,Unsolved,Poor Website,0,8,59,287.39,48,0
57,F,Village,Gold Membership,2017-05-04,No,Without Offers,Smartphone,Wi-Fi,12:31:18,264,220.6,28189.16,11.0,717.5,No,Yes,Yes,Solved in Follow-up,Poor Website,0,3,13,288.5,20,5
38,F,?,No Membership,2017-09-04,Yes,Without Offers,Desktop,Fiber_Optic,01:23:04,299,50.73,34275.77,10.0,1217.294948,Yes,No,Yes,Unsolved,Poor Website,1,1,50,561.4,40,7
33,F,Town,No Membership,2017-06-17,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,06:01:28,16,-711.3537107,24740.82,29.0,657.86,No,Yes,Yes,Unsolved,Poor Customer Service,1,1,14,391.91,12,3
36,F,Village,No Membership,2015-09-19,No,Without Offers,Both,Mobile_Data,12:47:52,337,445.58,31133.26,28.0,1080.851352,Yes,No,No,Not Applicable,Poor Customer Service,1,1,89,619.47,30,1
